Win Rate,Drafts,Packs,Starting Gems,Format
0.57,50,71,15000,Quick
0.57,25,84,15000,Competetive
0.57,22,66,15000,Sealed
0.57,49,71,15000,Quick
0.57,18,50,15000,Competetive
0.57,12,36,15000,Sealed
0.57,49,63,15000,Quick
0.57,20,61,15000,Competetive
0.57,20,60,15000,Sealed
0.57,54,75,15000,Quick
0.57,25,85,15000,Competetive
0.57,17,51,15000,Sealed
0.57,50,74,15000,Quick
0.57,29,100,15000,Competetive
0.57,32,96,15000,Sealed
0.57,50,64,15000,Quick
0.57,30,103,15000,Competetive
0.57,19,57,15000,Sealed
0.57,62,90,15000,Quick
0.57,21,64,15000,Competetive
0.57,25,75,15000,Sealed
0.57,47,68,15000,Quick
0.57,38,144,15000,Competetive
0.57,20,60,15000,Sealed
0.57,53,73,15000,Quick
0.57,23,76,15000,Competetive
0.57,23,69,15000,Sealed
0.57,51,70,15000,Quick
0.57,22,68,15000,Competetive
0.57,16,48,15000,Sealed
0.57,49,67,15000,Quick
0.57,34,126,15000,Competetive
0.57,18,54,15000,Sealed
0.57,53,77,15000,Quick
0.57,35,127,15000,Competetive
0.57,19,57,15000,Sealed
0.57,32,42,15000,Quick
0.57,38,142,15000,Competetive
0.57,19,57,15000,Sealed
0.57,41,57,15000,Quick
0.57,34,123,15000,Competetive
0.57,24,72,15000,Sealed
0.57,54,82,15000,Quick
0.57,43,162,15000,Competetive
0.57,24,72,15000,Sealed
0.57,39,53,15000,Quick
0.57,44,171,15000,Competetive
0.57,21,63,15000,Sealed
0.57,55,77,15000,Quick
0.57,32,118,15000,Competetive
0.57,16,48,15000,Sealed
0.57,54,74,15000,Quick
0.57,48,188,15000,Competetive
0.57,18,54,15000,Sealed
0.57,43,60,15000,Quick
0.57,58,236,15000,Competetive
0.57,20,60,15000,Sealed
0.57,49,73,15000,Quick
0.57,46,181,15000,Competetive
0.57,18,54,15000,Sealed
0.57,40,52,15000,Quick
0.57,26,90,15000,Competetive
0.57,20,60,15000,Sealed
0.57,48,65,15000,Quick
0.57,22,70,15000,Competetive
0.57,20,60,15000,Sealed
0.57,36,52,15000,Quick
0.57,26,90,15000,Competetive
0.57,28,84,15000,Sealed
0.57,43,61,15000,Quick
0.57,23,78,15000,Competetive
0.57,15,45,15000,Sealed
0.57,51,66,15000,Quick
0.57,22,67,15000,Competetive
0.57,17,51,15000,Sealed
0.57,53,78,15000,Quick
0.57,22,73,15000,Competetive
0.57,14,42,15000,Sealed
0.57,53,78,15000,Quick
0.57,27,93,15000,Competetive
